model,left_method,right_method,left_label,right_label,metric,n,difference_right_minus_left,ci_low,ci_high,bootstrap_samples,seed
qwen25_7b,direct,bm25,Direct,BM25 encoding-fixed,citation_presence,309,0.45307443365695793,0.3948220064724919,0.511326860841424,10000,42
qwen25_7b,direct,bm25,Direct,BM25 encoding-fixed,answer_all_citations_exist_joint,309,0.459546925566343,0.39805825242718446,0.517799352750809,10000,42
qwen25_7b,direct,bm25,Direct,BM25 encoding-fixed,any_gold_citation,309,0.2524271844660194,0.20388349514563106,0.30097087378640774,10000,42
qwen25_7b,direct,bm25,Direct,BM25 encoding-fixed,bleu,309,0.061350878094136495,0.045569519757993386,0.0779570412691533,10000,42
qwen25_7b,direct,bm25,Direct,BM25 encoding-fixed,meteor,309,0.06469796483794137,0.04861250331144421,0.08214338703507751,10000,42
qwen25_7b,direct,bm25,Direct,BM25 encoding-fixed,rouge_l,309,0.05914636196104967,0.04409729245699155,0.07483426380588369,10000,42
qwen25_7b,direct,dense,Direct,Dense CLS,citation_presence,309,0.44983818770226536,0.39158576051779936,0.5080906148867314,10000,42
qwen25_7b,direct,dense,Direct,Dense CLS,answer_all_citations_exist_joint,309,0.44983818770226536,0.39158576051779936,0.5080906148867314,10000,42
qwen25_7b,direct,dense,Direct,Dense CLS,any_gold_citation,309,0.2686084142394822,0.22006472491909385,0.32038834951456313,10000,42
qwen25_7b,direct,dense,Direct,Dense CLS,bleu,309,0.07399209924406065,0.05846667979006535,0.09118747566304629,10000,42
qwen25_7b,direct,dense,Direct,Dense CLS,meteor,309,0.08976881713591034,0.07256664756849737,0.10771223068034401,10000,42
qwen25_7b,direct,dense,Direct,Dense CLS,rouge_l,309,0.06795784122082725,0.052459288691057565,0.08376823378175956,10000,42
qwen25_7b,direct,hybrid,Direct,Hybrid CLS,citation_presence,309,0.5145631067961165,0.45307443365695793,0.5760517799352751,10000,42
qwen25_7b,direct,hybrid,Direct,Hybrid CLS,answer_all_citations_exist_joint,309,0.5145631067961165,0.4563106796116505,0.5728155339805825,10000,42
qwen25_7b,direct,hybrid,Direct,Hybrid CLS,any_gold_citation,309,0.313915857605178,0.2621359223300971,0.3656957928802589,10000,42
qwen25_7b,direct,hybrid,Direct,Hybrid CLS,bleu,309,0.06992712807389108,0.05415263984676782,0.0868547935751024,10000,42
qwen25_7b,direct,hybrid,Direct,Hybrid CLS,meteor,309,0.08748074870191547,0.07061586813399089,0.10448581028656977,10000,42
qwen25_7b,direct,hybrid,Direct,Hybrid CLS,rouge_l,309,0.06699146925819333,0.05221349851922773,0.08253928750700497,10000,42
qwen25_7b,bm25,dense,BM25 encoding-fixed,Dense CLS,citation_presence,309,-0.003236245954692557,-0.06472491909385113,0.05825242718446602,10000,42
qwen25_7b,bm25,dense,BM25 encoding-fixed,Dense CLS,answer_all_citations_exist_joint,309,-0.009708737864077669,-0.0744336569579288,0.05177993527508091,10000,42
qwen25_7b,bm25,dense,BM25 encoding-fixed,Dense CLS,any_gold_citation,309,0.016181229773462782,-0.032362459546925564,0.06472491909385113,10000,42
qwen25_7b,bm25,dense,BM25 encoding-fixed,Dense CLS,bleu,309,0.012641221149924163,0.0008317450565730616,0.024679625394484723,10000,42
qwen25_7b,bm25,dense,BM25 encoding-fixed,Dense CLS,meteor,309,0.025070852297968967,0.01130609078917591,0.03933937127098838,10000,42
qwen25_7b,bm25,dense,BM25 encoding-fixed,Dense CLS,rouge_l,309,0.008811479259777585,-0.002078807095812052,0.020224449035963488,10000,42
qwen25_7b,bm25,dense,BM25 encoding-fixed,Dense CLS,answer_all_citations_visible_joint,309,-0.009708737864077669,-0.07119741100323625,0.05177993527508091,10000,42
qwen25_7b,dense,hybrid,Dense CLS,Hybrid CLS,citation_presence,309,0.06472491909385113,0.009627831715210429,0.12297734627831715,10000,42
qwen25_7b,dense,hybrid,Dense CLS,Hybrid CLS,answer_all_citations_exist_joint,309,0.06472491909385113,0.006472491909385114,0.12297734627831715,10000,42
qwen25_7b,dense,hybrid,Dense CLS,Hybrid CLS,any_gold_citation,309,0.045307443365695796,-0.003236245954692557,0.09385113268608414,10000,42
qwen25_7b,dense,hybrid,Dense CLS,Hybrid CLS,bleu,309,-0.00406497117016959,-0.014646286941690422,0.005979523091307068,10000,42
qwen25_7b,dense,hybrid,Dense CLS,Hybrid CLS,meteor,309,-0.002288068433994873,-0.013925863964670698,0.008901799616409899,10000,42
qwen25_7b,dense,hybrid,Dense CLS,Hybrid CLS,rouge_l,309,-0.0009663719626339373,-0.010282516528393041,0.007994090544270678,10000,42
qwen25_7b,dense,hybrid,Dense CLS,Hybrid CLS,answer_all_citations_visible_joint,309,0.0744336569579288,0.016181229773462782,0.12944983818770225,10000,42
qwen3_4b,direct,bm25,Direct,BM25 encoding-fixed,citation_presence,309,-0.17475728155339806,-0.2588996763754045,-0.09385113268608414,10000,42
qwen3_4b,direct,bm25,Direct,BM25 encoding-fixed,answer_all_citations_exist_joint,309,-0.20388349514563106,-0.284789644012945,-0.11974110032362459,10000,42
qwen3_4b,direct,bm25,Direct,BM25 encoding-fixed,any_gold_citation,309,0.061488673139158574,0.0,0.12297734627831715,10000,42
qwen3_4b,direct,bm25,Direct,BM25 encoding-fixed,bleu,309,0.04405538339126578,0.027233146709963827,0.06165344907775052,10000,42
qwen3_4b,direct,bm25,Direct,BM25 encoding-fixed,meteor,309,0.03125923104045918,0.01422057899477245,0.049414026340609,10000,42
qwen3_4b,direct,bm25,Direct,BM25 encoding-fixed,rouge_l,309,0.04483687899725467,0.029013691325602362,0.06169212069842904,10000,42
qwen3_4b,direct,dense,Direct,Dense CLS,citation_presence,309,-0.22330097087378642,-0.2977346278317152,-0.14563106796116504,10000,42
qwen3_4b,direct,dense,Direct,Dense CLS,answer_all_citations_exist_joint,309,-0.2588996763754045,-0.3333333333333333,-0.18122977346278318,10000,42
qwen3_4b,direct,dense,Direct,Dense CLS,any_gold_citation,309,0.038834951456310676,-0.022653721682847898,0.10032362459546926,10000,42
qwen3_4b,direct,dense,Direct,Dense CLS,bleu,309,0.05739305474581766,0.04071657915562151,0.07481298156765019,10000,42
qwen3_4b,direct,dense,Direct,Dense CLS,meteor,309,0.05636077284149883,0.03993130501609661,0.07331568377949305,10000,42
qwen3_4b,direct,dense,Direct,Dense CLS,rouge_l,309,0.06067919303670847,0.04443477691036223,0.07744899560017474,10000,42
qwen3_4b,direct,hybrid,Direct,Hybrid CLS,citation_presence,309,-0.18770226537216828,-0.26537216828478966,-0.11326860841423948,10000,42
qwen3_4b,direct,hybrid,Direct,Hybrid CLS,answer_all_citations_exist_joint,309,-0.22330097087378642,-0.2977346278317152,-0.1488673139158576,10000,42
qwen3_4b,direct,hybrid,Direct,Hybrid CLS,any_gold_citation,309,0.07766990291262135,0.016181229773462782,0.13915857605177995,10000,42
qwen3_4b,direct,hybrid,Direct,Hybrid CLS,bleu,309,0.0461101353294495,0.03109408799395895,0.06142052954846148,10000,42
qwen3_4b,direct,hybrid,Direct,Hybrid CLS,meteor,309,0.04837961431690377,0.03220070754243394,0.06510244704903612,10000,42
qwen3_4b,direct,hybrid,Direct,Hybrid CLS,rouge_l,309,0.05058397874902275,0.03594640738158693,0.06560417522995651,10000,42
qwen3_4b,bm25,dense,BM25 encoding-fixed,Dense CLS,citation_presence,309,-0.04854368932038835,-0.11003236245954692,0.016181229773462782,10000,42
qwen3_4b,bm25,dense,BM25 encoding-fixed,Dense CLS,answer_all_citations_exist_joint,309,-0.05501618122977346,-0.11974110032362459,0.009708737864077669,10000,42
qwen3_4b,bm25,dense,BM25 encoding-fixed,Dense CLS,any_gold_citation,309,-0.022653721682847898,-0.0744336569579288,0.02912621359223301,10000,42
qwen3_4b,bm25,dense,BM25 encoding-fixed,Dense CLS,bleu,309,0.013337671354551871,0.003170314372077932,0.02370382133445439,10000,42
qwen3_4b,bm25,dense,BM25 encoding-fixed,Dense CLS,meteor,309,0.025101541801039642,0.012224170077426004,0.03818945803523918,10000,42
qwen3_4b,bm25,dense,BM25 encoding-fixed,Dense CLS,rouge_l,309,0.0158423140394538,0.005634856922090564,0.026747716661524045,10000,42
qwen3_4b,bm25,dense,BM25 encoding-fixed,Dense CLS,answer_all_citations_visible_joint,309,-0.042071197411003236,-0.11003236245954692,0.025889967637540454,10000,42
qwen3_4b,dense,hybrid,Dense CLS,Hybrid CLS,citation_presence,309,0.03559870550161812,-0.022653721682847898,0.09385113268608414,10000,42
qwen3_4b,dense,hybrid,Dense CLS,Hybrid CLS,answer_all_citations_exist_joint,309,0.03559870550161812,-0.025889967637540454,0.0970873786407767,10000,42
qwen3_4b,dense,hybrid,Dense CLS,Hybrid CLS,any_gold_citation,309,0.038834951456310676,-0.009708737864077669,0.08737864077669903,10000,42
qwen3_4b,dense,hybrid,Dense CLS,Hybrid CLS,bleu,309,-0.011282919416368166,-0.021219472373820207,-0.002086099261456532,10000,42
qwen3_4b,dense,hybrid,Dense CLS,Hybrid CLS,meteor,309,-0.007981158524595057,-0.0180310267424142,0.0016703518694066567,10000,42
qwen3_4b,dense,hybrid,Dense CLS,Hybrid CLS,rouge_l,309,-0.010095214287685726,-0.01972549143661648,-0.000998496469438675,10000,42
qwen3_4b,dense,hybrid,Dense CLS,Hybrid CLS,answer_all_citations_visible_joint,309,0.045307443365695796,-0.016181229773462782,0.10679611650485436,10000,42
